key,word,lang,domain,group,sim_sex,sim_neutral,hhp_index,sim_primary,dual_connectivity
come_en,come,en,movement,HHP,0.2897949892693853,0.41541945121214285,-0.12562446194275756,0.3716721678987025,0.6614671571680878
ride_en,ride,en,movement,HHP,0.29927916679761857,0.3811685930427846,-0.08188942624516604,0.4550588841240668,0.7543380509216854
hot_en,hot,en,temperature,HHP,0.4056543088923372,0.37587454522254254,0.02977976366979468,0.4473167681968789,0.852971077089216
wet_en,wet,en,moisture,HHP,0.408945087354511,0.35501989253123295,0.053925194823278066,0.5536501792640096,0.9625952666185207
blow_en,blow,en,air,HHP,0.3843792291449068,0.34186729458734244,0.04251193455756436,0.5744768295972591,0.958856058742166
eat_en,eat,en,food,HHP,0.3017772483538307,0.3859702622517115,-0.08419301389788081,0.5798293582446366,0.8816066065984672
mount_en,mount,en,movement,HHP,0.23839523737331508,0.34524585201565705,-0.10685061464234197,0.2709627915262932,0.5093580288996082
lay_en,lay,en,position,HHP,0.2542321356868005,0.34112271794069327,-0.08689058225389279,0.3137803652939398,0.5680125009807403
master_en,master,en,authority,HHP,0.2775475442990152,0.4438851125466788,-0.1663375682476636,0.5753139488676908,0.852861493166706
69_en,69,en,number,HHP,0.29066492217061446,0.3274795496925248,-0.03681462752191034,0.32580750718417784,0.6164724293547923
doggy_en,doggy,en,animal,HHP,0.34752824720237613,0.3398759323582301,0.007652314844146024,0.5529634239249313,0.9004916711273074
nuts_en,nuts,en,food,HHP,0.3041848344825873,0.3721838651618821,-0.0679990306792948,0.44114551190796136,0.7453303463905487
screw_en,screw,en,tool,HHP,0.31628543188914426,0.35888079245003013,-0.042595360560885864,0.4343213307838295,0.7506067626729738
collar_en,collar,en,animal,HHP,0.2975193210107572,0.3213199936707327,-0.02380067265997554,0.40053867037770896,0.6980579913884661
leash_en,leash,en,animal,HHP,0.3149493722797778,0.319002386908744,-0.004053014628966178,0.42935027776406154,0.7442996500438394
dominate_en,dominate,en,power,HHP,0.3059611597670374,0.2580258790525084,0.047935280714529016,0.40185414252733537,0.7078153022943727
submit_en,submit,en,power,HHP,0.30170912907207037,0.44082363343511277,-0.1391145043630424,0.29643216098977704,0.5981412900618475
swallow_en,swallow,en,food,HHP,0.36625680873489014,0.30973354010014775,0.056523268634742385,0.3730958796644118,0.739352688399302
iku_ja,イク,ja,movement,HHP,0.44584842243212675,0.40842798976686734,0.03742043266525941,0.4183058749687709,0.8641542974008977
taberu_ja,食べる,ja,food,HHP,0.3230953584968305,0.35847746961515436,-0.035382111118323845,0.6022206724344054,0.9253160309312358
noru_ja,乗る,ja,movement,HHP,0.2848602779800188,0.38885603912686595,-0.10399576114684717,0.4942748549245116,0.7791351329045304
kubiwa_ja,首輪,ja,animal,HHP,0.31596179418572395,0.33217174361186125,-0.016209949426137293,0.2736558881404129,0.5896176823261369
nureru_ja,濡れる,ja,moisture,HHP,0.3449792747287649,0.28824520174418794,0.056734072984576944,0.4987176042139701,0.843696878942735
semeru_ja,攻める,ja,power,HHP,0.29819740031894293,0.3254492685403183,-0.027251868221375375,0.35199836988859995,0.6501957702075429
shibaru_ja,縛る,ja,tool,HHP,0.2967684848778922,0.29299018646873665,0.003778298409155556,0.28352582823687933,0.5802943131147715
neru_ja,寝る,ja,sleep,HHP,0.2995909318151506,0.3343893439201941,-0.034798412105043475,0.6120677976887603,0.9116587295039109
venir_fr,venir,fr,movement,HHP,0.20337734589215462,0.2722439846957894,-0.0688666388036348,0.44585498620091224,0.6492323320930669
mourir_fr,mourir,fr,state,HHP,0.3401548969732466,0.32694983677248235,0.01320506020076423,0.4790488238223575,0.819203720795604
monter_fr,monter,fr,movement,HHP,0.29513001472182265,0.3648236340345027,-0.06969361931268003,0.4850781421568283,0.780208156878651
kommen_de,kommen,de,movement,HHP,0.3294532343246645,0.3570306618700906,-0.02757742754542608,0.43340976961158595,0.7628630039362505
reiten_de,reiten,de,movement,HHP,0.3688161704519651,0.34230424938301623,0.02651192106894884,0.582450779721968,0.951266950173933
blasen_de,blasen,de,air,HHP,0.40309493597363555,0.32296199197905934,0.08013294399457621,0.39904530897734236,0.8021402449509779
correrse_es,correrse,es,movement,HHP,0.48460733960824937,0.37313268465195404,0.11147465495629533,0.6084808188433064,1.0930881584515557
montar_es,montar,es,movement,HHP,0.34882165815070487,0.39626536884170727,-0.047443710691002394,0.5346769967728336,0.8834986549235385
gada_ko,가다,ko,movement,HHP,0.28504517101913396,0.3410315845774736,-0.055986413558339665,0.4489374097798517,0.7339825807989857
lai_zh,来,zh,movement,HHP,0.1624513013461374,0.16959205780493514,-0.007140756458797748,0.22323914500502573,0.3856904463511631
lick_en,lick,en,food,HHP,0.35907663894753966,0.3123746518943787,0.046701987053160976,0.3742134142922272,0.7332900532397668
tie_en,tie,en,tool,HHP,0.2583749696282034,0.3452607390042237,-0.08688576937602033,0.35902010489089836,0.6173950745191017
obey_en,obey,en,power,HHP,0.26915396766369737,0.3366915968145465,-0.06753762915084915,0.39702224132554287,0.6661762089892402
nameru_ja,舐める,ja,food,HHP,0.3611189733964262,0.2875259375993636,0.07359303579706256,0.3369856333669331,0.6981046067633593
shitagau_ja,従う,ja,power,HHP,0.2692939587414825,0.3395751696858774,-0.07028121094439493,0.38943692528515106,0.6587308840266335
chaud_fr,chaud,fr,temperature,HHP,0.3960957823411826,0.39557913357072905,0.0005166487704535427,0.4908145572638529,0.8869103396050355
mouiller_fr,mouiller,fr,moisture,HHP,0.3605774790637698,0.30859131186761946,0.051986167196150346,0.5570778347344809,0.9176553137982507
heiss_de,heiß,de,temperature,HHP,0.4759777636682937,0.4010135710525362,0.07496419261575749,0.42883341299079725,0.9048111766590909
feucht_de,feucht,de,moisture,HHP,0.4631054037670589,0.37583943581051815,0.08726596795654074,0.6397220353974945,1.1028274391645534
caliente_es,caliente,es,temperature,HHP,0.4921270194175219,0.41488939862126367,0.07723762079625823,0.5343159146403845,1.0264429340579064
mojarse_es,mojarse,es,moisture,HHP,0.3540545067466654,0.32194556182810247,0.03210894491856292,0.5470421375203365,0.9010966442670019
walk_en,walk,en,movement,Control,0.2758907207352529,0.41006281812868844,-0.13417209739343555,0.6496403818563825,0.9255311025916354
sit_en,sit,en,position,Control,0.3091038029790654,0.379134559997946,-0.07003075701888056,0.4708326793623022,0.7799364823413677
cold_en,cold,en,temperature,Control,0.30783930817994565,0.40132387397941893,-0.09348456579947328,0.55674218395188,0.8645814921318257
dry_en,dry,en,moisture,Control,0.31409230566524066,0.40035519573025713,-0.08626289006501647,0.4891530415421096,0.8032453472073502
cup_en,cup,en,tool,Control,0.2368467188927853,0.36588193085043436,-0.12903521195764905,0.3513562568415184,0.5882029757343037
desk_en,desk,en,tool,Control,0.2536179729287327,0.49167420021679764,-0.23805622728806491,0.4628072796810131,0.7164252526097459
pencil_en,pencil,en,tool,Control,0.28078155408404226,0.4030079975093106,-0.12222644342526834,0.36169891724643843,0.6424804713304807
68_en,68,en,number,Control,0.25457886751870795,0.3310614145505421,-0.07648254703183416,0.32644425850705994,0.5810231260257679
70_en,70,en,number,Control,0.2406277833737415,0.30856632687811064,-0.06793854350436915,0.2943873342868104,0.5350151176605519
breathe_en,breathe,en,air,Control,0.3395963786955624,0.34612426952108816,-0.0065278908255257395,0.5268322653057202,0.8664286440012827
carry_en,carry,en,movement,Control,0.2401745061043759,0.35069066510211166,-0.11051615899773576,0.3614754612209925,0.6016499673253684
table_en,table,en,tool,Control,0.2630049050252315,0.4715786663937233,-0.20857376136849182,0.4415061276371214,0.7045110326623529
aruku_ja,歩く,ja,movement,Control,0.3125603535904913,0.41185937499804937,-0.09929902140755809,0.7120442394618214,1.0246045930523127
suwaru_ja,座る,ja,position,Control,0.26527352131207926,0.3583570626772131,-0.09308354136513386,0.5142225468572348,0.779496068169314
koppu_ja,コップ,ja,tool,Control,0.29356351981479245,0.3790957322800584,-0.08553221246526593,0.35354505266082253,0.6471085724756149
tsukue_ja,机,ja,tool,Control,0.25029401443193366,0.4031999845664139,-0.15290597013448026,0.48146982653028125,0.7317638409622149
enpitsu_ja,鉛筆,ja,tool,Control,0.28439737724188063,0.3552856569533661,-0.07088827971148548,0.38075224411184383,0.6651496213537245
marcher_fr,marcher,fr,movement,Control,0.28503181697602,0.32884469575686714,-0.043812878780847164,0.7894861849637185,1.0745180019397385
asseoir_fr,s'asseoir,fr,position,Control,0.28270517395575195,0.347562449274734,-0.06485727531898206,0.47945297757576105,0.762158151531513
gehen_de,gehen,de,movement,Control,0.3372523581119696,0.3445030781978882,-0.007250720085918649,0.8267782344644101,1.1640305925763796
sitzen_de,sitzen,de,position,Control,0.34379714317434795,0.34559738625783876,-0.0018002430834908045,0.5005184622760708,0.8443156054504187
geotda_ko,걷다,ko,movement,Control,0.4053576474406366,0.3935428296297866,0.011814817810850031,0.7103294904001998,1.1156871378408364
zou_zh,走,zh,movement,Control,0.33410245547368256,0.4089439004456442,-0.07484144497196166,0.6195128749302519,0.9536153304039344
chew_en,chew,en,food,Control,0.33315909956523104,0.3241790261142388,0.008980073450992221,0.4269373374017317,0.7600964369669627
fasten_en,fasten,en,tool,Control,0.2656414077141902,0.32021793732965653,-0.05457652961546633,0.3830762123422644,0.6487176200564546
manage_en,manage,en,power,Control,0.23990485401325795,0.4616815781405184,-0.22177672412726046,0.5973941608758419,0.8372990148890997
warm_en,warm,en,temperature,Control,0.36219446941732136,0.39035237679565227,-0.028157907378330904,0.5423210604243756,0.9045155298416969
damp_en,damp,en,moisture,Control,0.3166147009339886,0.307185084472691,0.009429616461297585,0.5598119887583131,0.8764266896923016
kamu_ja,噛む,ja,food,Control,0.33819737297098806,0.3156544481760769,0.022542924794911157,0.3992185340679907,0.7374159070389787
koteisuru_ja,固定する,ja,tool,Control,0.2914839309594246,0.40602124635632664,-0.11453731539690204,0.41210354404683436,0.703587475006259
atarakai_ja,温かい,ja,temperature,Control,0.3621361777399079,0.3735379700761351,-0.011401792336227179,0.5371410292757068,0.8992772070156148
shimeru_ja,湿る,ja,moisture,Control,0.3200123709470654,0.2804637481312837,0.0395486228157817,0.526323915463841,0.8463362864109065
tiede_fr,tiède,fr,temperature,Control,0.3289354275490638,0.38319046973475623,-0.05425504218569244,0.4706926597845196,0.7996280873335834
humide_fr,humide,fr,moisture,Control,0.4013272751450941,0.371557994470577,0.029769280674517062,0.6611063174861411,1.0624335926312352
kuhl_de,kühl,de,temperature,Control,0.3999319116604041,0.4280468347541887,-0.028114923093784605,0.46893285220999736,0.8688647638704015
trocken_de,trocken,de,moisture,Control,0.3768504317878725,0.3827074449085113,-0.005857013120638799,0.4674884031933008,0.8443388349811733
templado_es,templado,es,temperature,Control,0.41011938535897285,0.41325900314840447,-0.0031396177894316146,0.6166074912012423,1.026726876560215
seco_es,seco,es,moisture,Control,0.3897788694794323,0.39206506788129863,-0.002286198401866335,0.44664046439691296,0.8364193338763453
